Source.Name,ATA,PUBLICATION NO.,RECEIVED DATE,ISSUE DATE,EFFECTIVE DATE,BIWEEKLY NUMBER,TC HOLDER,AC TYPE,SUBJECT,SUPERSEDES,REFERENCE,AFFECTED PART,METHOD OF COMPLIANCE,COMPLIANCE TIME,REPEAT INTERVAL,EFFECTIVITY,PARTS PROHIBITION,PIC,EVALUATION DATE,TDE NUMBER,TDE STATUS,ENGINEERING ACTION,Issued Instructions
easa_biweekly_02-2022.csv,,US-2021-26-06,,21-Jan-2022,,,GENERAL ELECTRIC,GE90,Engine - Transfer Gearbox Radial Gearshaft - Inspection / Replacement,,,,,,,,,,,,,,
easa_biweekly_02-2022.csv,,2022-0011,,21-Jan-2022,,,AIRBUS,A350,Wings - Upper / Lower Wing Skin Cover Edge Glow Sealant - Inspection / Modification,,,,,,,,,,,,,,
easa_biweekly_02-2022.csv,,2022-0010,,20-Jan-2022,,,LEONARDO S.p.A. HELICOPTERS,AW189,Navigation - Glide Slope Antenna - Inspection / Cleaning / Replacement,,,,,,,,,,,,,,
easa_biweekly_02-2022.csv,,US-2022-02-16,,19-Jan-2022,,,BOEING,787,Aircraft Flight Manual - Limitations / Operating Procedures - Amendment / Navigation - Minimum Equipment List - Amendment,,,,,,,,,,,,,,
easa_biweekly_02-2022.csv,,US-2021-26-09,,19-Jan-2022,,,"BRANTLY HELICOPTERS INDUSTRIES U.S.A. Co., Ltd., ORPHANED (No TC Holder)","305, BRANTLY",Tail Rotor - Tail Rotor Hub - Inspections / Removal,,,,,,,,,,,,,,
easa_biweekly_02-2022.csv,,US-2021-26-19,,19-Jan-2022,,,GENERAL ELECTRIC,CF34-8,Engine - High Pressure Turbine Rotor Stage 1 Disk - Replacement,,,,,,,,,,,,,,
easa_biweekly_02-2022.csv,,2022-0009,,19-Jan-2022,,,CFM INTERNATIONAL,LEAP-1A/-1C,Engine - High Pressure Turbine Rotor Stage 1 Blade and Stator Stage 1 Nozzles - Inspection,,,,,,,,,,,,,,
easa_biweekly_02-2022.csv,,2022-0008,,19-Jan-2022,,,GE AVIATION CZECH,"H75, H80, H85",Time Limits / Maintenance Checks - Airworthiness Limitations Section - Amendment,,,,,,,,,,,,,,
easa_biweekly_02-2022.csv,,2022-0007,,19-Jan-2022,,,CFM INTERNATIONAL,LEAP-1A/-1C,Time Limits / Maintenance Checks - Airworthiness Limitations Section - Implementation,,,,,,,,,,,,,,
easa_biweekly_02-2022.csv,,BR-2021-11-01R1,,18-Jan-2022,,,EMBRAER,EMB-545/-550 (Legacy 500),Equipment / Furnishings - Divan Shroud / Sideledge Panel Fairing - Installation,,,All helicopters with an externally-mounted Goodrich hoist assembly,,,,,,,,,,,
easa_biweekly_02-2022.csv,,ISR-I-57-2021-12-4,,17-Jan-2022,,,GULFSTREAM (GALP),G200,Wings - Flaps Fairing Seal - Repair,,,All helicopters with an externally-mounted Goodrich hoist assembly,,,,,,,,,,,
easa_biweekly_02-2022.csv,,ISR-I-57-2021-12-3,,17-Jan-2022,,,GULFSTREAM (GALP),G150,Wings - Flaps Fairing Seal - Repair,,,All helicopters with an externally-mounted Goodrich hoist assembly,,,,,,,,,,,
easa_biweekly_02-2022.csv,,US-2020-03-11,,14-Jan-2022,,,BOEING,"707, 720",Fuel - Fuel Quantity Indicating System - Modification,,,All helicopters with an externally-mounted Goodrich hoist assembly,,,,,,,,,,,
easa_biweekly_02-2022.csv,,US-2019-23-04,,14-Jan-2022,,,BOEING,727,Fuel - Fuel Quantity Indicating System - Modification,,,All helicopters with an externally-mounted Goodrich hoist assembly,,,,,,,,,,,
easa_biweekly_02-2022.csv,,US-2021-26-17,,13-Jan-2022,,,BOEING,737,Equipment / Furnishings - Passenger Service Units and Life Vest Panels - Inspection / Modification,,,All helicopters with an externally-mounted Goodrich hoist assembly,,,,,,,,,,,
easa_biweekly_02-2022.csv,,US-2022-02-02,,13-Jan-2022,,,BELL TEXTRON INC. (BTI),"204B, 205, 210, 212",Main Rotor - Hub Strap Pins - Replacement ,,,All helicopters with an externally-mounted Goodrich hoist assembly,,,,,,,,,,,
easa_biweekly_02-2022.csv,,US-2021-24-14,,12-Jan-2022,,,BOEING,787,Engine Exhaust - Thrust Reverser Translating Sleeve Secondary Sliders - Check / Replacement,,,All helicopters with an externally-mounted Goodrich hoist assembly,,,,,,,,,,,
easa_biweekly_02-2022.csv,,US-2022-02-05,,12-Jan-2022,,,PRATT & WHITNEY,"PW1500G, PW1900G",Engine - High Pressure Turbine Stage 1/2 Disks - Replacement,,,All helicopters with an externally-mounted Goodrich hoist assembly,,,,,,,,,,,
easa_biweekly_02-2022.csv,,2021-0184R2,,12-Jan-2022,,,AIRBUS HELICOPTERS,SA 330 / AS 332 / EC 225,Tail Rotor - Tail Gearbox Angular Clearance - Inspection,,,All helicopters with an externally-mounted Goodrich hoist assembly,,,,,,,,,,,
easa_biweekly_02-2022.csv,,CF-2022-01,,12-Jan-2022,,,AIRBUS CANADA LP,BD-500 (A220 Series),Placards and Markings - Elevator and Rudder Surface Rigging Inaccuracy Resulting from Flight Control Decal Positional Offset,,,All helicopters with an externally-mounted Goodrich hoist assembly,,,,,,,,,,,
easa_biweekly_02-2022.csv,,2022-0004,,11-Jan-2022,,,AIRBUS,A300,Fuselage - Aft Flight Compartment Window Rear Lower Corner and Fuselage Skin - Inspection,,,"All helicopters with an externally-mounted Goodrich hoist assemblySlides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)",,,,,,,,,,,
easa_biweekly_02-2022.csv,,2022-0005,,11-Jan-2022,,,SAFRAN HELICOPTER ENGINES,ARRIUS 1,Time Limits / Maintenance Checks - Airworthiness Limitations Section - Amendment,,,"All helicopters with an externally-mounted Goodrich hoist assemblySlides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)",,,,,,,,,,,
easa_biweekly_02-2022.csv,,US-2021-19-15,,10-Jan-2022,,,BOEING,777,Equipment / Furnishings - Galley Mounted Attendant Seat Fittings - Modification,,,"All helicopters with an externally-mounted Goodrich hoist assemblySlides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)",,,,,,,,,,,
easa_biweekly_03-2022.csv,,CF-2022-03,,4-Feb-2022,,,BOMBARDIER,BD-100,Flight Controls - Horizontal Stabilizer Trim Switch - Unintended Horizontal Stabilizer Motion,,,"All helicopters with an externally-mounted Goodrich hoist assemblySlides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)Emergency parachute model ATL-15SL, all serial numbers manufactured from 2016 with PN 09994, 09995, 09996 (no suffix)",,,,,,,,,,,
easa_biweekly_03-2022.csv,34,2022-0024,,4-Feb-2022,18-Feb-2022,,APPLIANCES,ATA 34 NAVIGATION,THALES AVS FRANCE SAS - Flight Management Computer 2 / Navigation Modules - Operational Limitations / Amendment,None,"FMS user manual J68952AA Rev 1
THALES NDB SIL F9111-J70859DN-00",THALES FMC Navigation Modules with PN C13084CA03,"1. Amend the AFM to refer to THALES FMS user manual

2. Update the NDB to remove some navigation procedures as defined in the  SIL","1. Within 30 days

2. Within 30 days",None,"None.
The affected part number is not effective for A320 aircrafts, nor is it installed on PAS fleet.",None,Rofiq,2-Jun-22,TDE-AD-2022-0024-PAS,COMPLETE,NO ENGINEERING ACTION,
easa_biweekly_03-2022.csv,,2022-0023,,3-Feb-2022,,,AIRBUS HELICOPTERS DEUTSCHLAND,EC135/635,Air Conditioning - Air Conditioning System - Deactivation,,,"Slides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)Emergency parachute model ATL-15SL, all serial numbers manufactured from 2016 with PN 09994, 09995, 09996 (no suffix)",,,,,,,,,,,
easa_biweekly_03-2022.csv,,2022-0022,,2-Feb-2022,,,AIRBUS,A380,Flight Controls - Aileron Servo Controls - Replacement,,,"Slides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)Emergency parachute model ATL-15SL, all serial numbers manufactured from 2016 with PN 09994, 09995, 09996 (no suffix)",,,,,,,,,,,
easa_biweekly_03-2022.csv,,2022-0021,,1-Feb-2022,,,AIRBUS HELICOPTERS,SA 330 / AS 332 / EC 225,Time Limits / Maintenance Checks - Main Gearbox Suspension Bar Pins / Fittings - Re-calculation of Life Limits / Replacement / Modification,,,"Slides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)Emergency parachute model ATL-15SL, all serial numbers manufactured from 2016 with PN 09994, 09995, 09996 (no suffix)",,,,,,,,,,,
easa_biweekly_03-2022.csv,,CF-2022-02,,1-Feb-2022,,,DE HAVILLAND AIRCRAFT OF CANADA LTD.,DHC-8,Stabilizers - Horizontal Stabilizer Lower Centre Skin Panel - Corrosion Damage,,,"Slides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)Emergency parachute model ATL-15SL, all serial numbers manufactured from 2016 with PN 09994, 09995, 09996 (no suffix)",,,,,,,,,,,
easa_biweekly_03-2022.csv,,2022-0006R2,,31-Jan-2022,,,AIRBUS HELICOPTERS,SA/AS 365 / EC 155,Main Rotor Drive - Oil Cooling Fan Hub - Inspection / Replacement,,,"Slides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)Emergency parachute model ATL-15SL, all serial numbers manufactured from 2016 with PN 09994, 09995, 09996 (no suffix)",,,,,,,,,,,
easa_biweekly_03-2022.csv,,US-2021-25-05,,31-Jan-2022,,,BOEING,737,Fuselage - Crown Skin Panels - Inspection / Replacement,,,"Slides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)Emergency parachute model ATL-15SL, all serial numbers manufactured from 2016 with PN 09994, 09995, 09996 (no suffix)",,,,,,,,,,,
easa_biweekly_03-2022.csv,,US-2021-26-03,,31-Jan-2022,,,BOEING,737,Fuselage - Frame Splice - Inspection,,,"Slides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)Emergency parachute model ATL-15SL, all serial numbers manufactured from 2016 with PN 09994, 09995, 09996 (no suffix)",,,,,,,,,,,
easa_biweekly_03-2022.csv,,US-2021-26-28,,31-Jan-2022,,,BOEING,757,Fuel - Airworthiness Limitations Maintenance or Inspection Program - Revision,,,"Slides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)Emergency parachute model ATL-15SL, all serial numbers manufactured from 2016 with PN 09994, 09995, 09996 (no suffix)",,,,,,,,,,,
easa_biweekly_03-2022.csv,,2022-0019,,31-Jan-2022,,,AIRBUS,A380,Wings - Front and Rear Spars - Inspection,,,"Slides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)Emergency parachute model ATL-15SL, all serial numbers manufactured from 2016 with PN 09994, 09995, 09996 (no suffix)",,,,,,,,,,,
easa_biweekly_03-2022.csv,,US-2022-03-20,,31-Jan-2022,,,BOEING,737,Aircraft Flight Manual - Limitations / Operating Procedures - Amendment / Navigation - Minimum Equipment List - Amendment,,,"Slides, Rafts, and reservoirs part numbers in AD appendix (DOMs between 2017 - 2018)Emergency parachute model ATL-15SL, all serial numbers manufactured from 2016 with PN 09994, 09995, 09996 (no suffix)",,,,,,,,,,,
easa_biweekly_03-2022.csv,,2022-0020,,31-Jan-2022,,,AIRBUS,A380,Nacelles / Pylons - Pylon Box Drainage Areas and Hydraulic Connections - Inspection,,,"Emergency parachute model ATL-15SL, all serial numbers manufactured from 2016 with PN 09994, 09995, 09996 (no suffix)",,,,,,,,,,,
easa_biweekly_03-2022.csv,25,2022-0018-E,,28-Jan-2022,1-Feb-2022,2022-04,APPLIANCES,ATA 25 EQUIPMENT / FURNISHINGS,MARS A.S. Emergency Parachutes - Removal from Service,EASA EAD 2022-0017-E,None,"Emergency parachute model ATL-15SL, all serial numbers manufactured between 2016 - 2020, and serial numbers between 2145001 to 2145005 (inclusive), and serial numbers between 2145023 to 2145034 (inclusive).",Remove affected parts from service,Immediately from the effective date of this AD,None,"None. 
The affected part number is not effective for A320 aircrafts, nor is it installed on PAS fleet.",None,Rofiq,2-Jun-22,TDE-AD-2022-0018-E-PAS,COMPLETE,NO ENGINEERING ACTION,
easa_biweekly_03-2022.csv,,US-2021-24-12,,28-Jan-2022,,,BOEING,777,Fuel / Inert Gas System - Airworthiness Limitations / Critical Design Configuration Control Limitations - Revision,,,"Emergency parachute model ATL-15SL, all serial numbers manufactured from 2016 with PN 09994, 09995, 09996 (no suffix)Survitec lifejacket Type 102 Mk 3, 102 Mk4, 105 Mk 1 manufactured between 1-Oct-2018 and 30-Apr-2019Frame 16, Fram 20BSCU PN E21327307",,,,,,,,,,,
easa_biweekly_03-2022.csv,25,2022-0017-E,,27-Jan-2022,31-Jan-2022,2022-04,APPLIANCES,ATA 25 EQUIPMENT / FURNISHINGS,SUPERSEDED BY EASA AD 2022-0018-E,None,None,"Emergency parachute model ATL-15SL, all variants, all serial numbers delivered after 31-July-2021",Remove affected parts from service,Immediately from the effective date of this AD,None,"None.
The affected part number is not effective for A320 aircrafts, nor is it installed on PAS fleet.",None,Rofiq,2-Jun-22,TDE -AD-2022-0017-E-PAS,COMPLETE,NO ENGINEERING ACTION,
easa_biweekly_03-2022.csv,,US-2022-03-05,,27-Jan-2022,,,BOEING,"747, 777",Aircraft Flight Manual - Limitations / Operating Procedures - Amendment,,,"Survitec lifejacket Type 102 Mk 3, 102 Mk4, 105 Mk 1 manufactured between 1-Oct-2018 and 30-Apr-2019Frame 16, Fram 20BSCU PN E21327307All Airbus single aisle ",,,,,,,,,,,
easa_biweekly_03-2022.csv,,US-2022-02-15,,26-Jan-2022,,,GULFSTREAM AEROSPACE CORPORATION,GIV,Landing Gear - Nose Wheel Steering Servo Valve Manifold - Replacement / Aeroplane Flight Manual - Revision,,,"Survitec lifejacket Type 102 Mk 3, 102 Mk4, 105 Mk 1 manufactured between 1-Oct-2018 and 30-Apr-2019Frame 16, Fram 20BSCU PN E21327307All Airbus single aisle Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400",,,,,,,,,,,
easa_biweekly_03-2022.csv,,2021-0287,,26-Jan-2022,,,"AIRBUS HELICOPTERS DEUTSCHLAND, MECAER AVIATION GROUP SpA ","MBB-BK 117, EASA STC 10038915, EASA STC 10055175",[Correction] Equipment / Furnishings - Seat Belt Restraint System - Inspection,,,"Survitec lifejacket Type 102 Mk 3, 102 Mk4, 105 Mk 1 manufactured between 1-Oct-2018 and 30-Apr-2019Frame 16, Fram 20BSCU PN E21327307All Airbus single aisle Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400",,,,,,,,,,,
easa_biweekly_03-2022.csv,,2022-0015,,26-Jan-2022,,,AIRBUS,A350,Wings - Wing Upper and Lower Covers - Inspection / Repair,,,"Survitec lifejacket Type 102 Mk 3, 102 Mk4, 105 Mk 1 manufactured between 1-Oct-2018 and 30-Apr-2019Frame 16, Fram 20BSCU PN E21327307All Airbus single aisle Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400Oxygen cylinder and valve assemblies PN 89794077, 89794015, 891511-14, 806835-01, 807982-01, or
808433-01, 807206-01",,,,,,,,,,,
easa_biweekly_03-2022.csv,,2022-0016-E,,26-Jan-2022,,,AIRBUS HELICOPTERS,SA 330 / AS 332 / EC 225,Equipment / Furnishings - Hoist Attachment Fittings - Inspection,,,"Survitec lifejacket Type 102 Mk 3, 102 Mk4, 105 Mk 1 manufactured between 1-Oct-2018 and 30-Apr-2019Frame 16, Fram 20BSCU PN E21327307All Airbus single aisle Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400Oxygen cylinder and valve assemblies PN 89794077, 89794015, 891511-14, 806835-01, 807982-01, or
808433-01, 807206-01Approved aircraft maintenance program",,,,,,,,,,,
easa_biweekly_03-2022.csv,,2022-0013,,25-Jan-2022,,,AIRBUS,A350,Equipment / furnishings - Escape Slide-Raft at Passenger Doors 3 - Inflatable Free Aisle Restrictor - Modification / Replacement,,,"Survitec lifejacket Type 102 Mk 3, 102 Mk4, 105 Mk 1 manufactured between 1-Oct-2018 and 30-Apr-2019Frame 16, Fram 20BSCU PN E21327307All Airbus single aisle Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400Oxygen cylinder and valve assemblies PN 89794077, 89794015, 891511-14, 806835-01, 807982-01, or
808433-01, 807206-01Approved aircraft maintenance program",,,,,,,,,,,
easa_biweekly_03-2022.csv,,2022-0014,,25-Jan-2022,,,AIRBUS,A350,Equipment / Furnishings - Cockpit Seats - Inspection / Modification,,,"Survitec lifejacket Type 102 Mk 3, 102 Mk4, 105 Mk 1 manufactured between 1-Oct-2018 and 30-Apr-2019Frame 16, Fram 20BSCU PN E21327307All Airbus single aisle Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400Oxygen cylinder and valve assemblies PN 89794077, 89794015, 891511-14, 806835-01, 807982-01, or
808433-01, 807206-01Approved aircraft maintenance program",,,,,,,,,,,
easa_biweekly_03-2022.csv,,US-2022-02-18,,25-Jan-2022,,,GENERAL ELECTRIC,CF6-80C,Time Limits / Maintenance Checks - Airworthiness Limitations Section - Amendment,,,"Survitec lifejacket Type 102 Mk 3, 102 Mk4, 105 Mk 1 manufactured between 1-Oct-2018 and 30-Apr-2019Frame 16, Fram 20BSCU PN E21327307All Airbus single aisle Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400Oxygen cylinder and valve assemblies PN 89794077, 89794015, 891511-14, 806835-01, 807982-01, or
808433-01, 807206-01Approved aircraft maintenance program",,,,,,,,,,,
easa_biweekly_03-2022.csv,,US-2021-25-09,,25-Jan-2022,,,BOEING,737,Flight Controls - Angle of Attack Sensor - Inspection /Replacement,,,"Survitec lifejacket Type 102 Mk 3, 102 Mk4, 105 Mk 1 manufactured between 1-Oct-2018 and 30-Apr-2019Frame 16, Fram 20BSCU PN E21327307All Airbus single aisle Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400Oxygen cylinder and valve assemblies PN 89794077, 89794015, 891511-14, 806835-01, 807982-01, or
808433-01, 807206-01Approved aircraft maintenance program",,,,,,,,,,,
easa_biweekly_03-2022.csv,,2022-0012,,24-Jan-2022,,,AIRBUS HELICOPTERS,SA 330 / AS 332 / EC 225,Time Limits / Maintenance Checks - Airworthiness Limitations / Mechanical Part Torque Cycles - Re-calculation / Replacement,,,"Survitec lifejacket Type 102 Mk 3, 102 Mk4, 105 Mk 1 manufactured between 1-Oct-2018 and 30-Apr-2019Frame 16, Fram 20BSCU PN E21327307All Airbus single aisle Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400Oxygen cylinder and valve assemblies PN 89794077, 89794015, 891511-14, 806835-01, 807982-01, or
808433-01, 807206-01Approved aircraft maintenance program",,,,,,,,,,,
easa_biweekly_04-2022.csv,,2022-0027,,18-Feb-2022,,,FOKKER SERVICES,F28,Time Limits / Maintenance Checks - Airworthiness Limitations Section Part 2 - Airworthiness Limitations Items and Safe Life Items - Implementation,,,"Survitec lifejacket Type 102 Mk 3, 102 Mk4, 105 Mk 1 manufactured between 1-Oct-2018 and 30-Apr-2019Frame 16, Fram 20BSCU PN E21327307All Airbus single aisle Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400Oxygen cylinder and valve assemblies PN 89794077, 89794015, 891511-14, 806835-01, 807982-01, or
808433-01, 807206-01Approved aircraft maintenance program",,,,,,,,,,,
easa_biweekly_04-2022.csv,,G-2022-0002,,18-Feb-2022,,,BAE SYSTEMS (OPERATIONS) LTD,BAE146,Auto Flight - Autopilot Disconnect - Modification,,,"Frame 16, Fram 20BSCU PN E21327307All Airbus single aisle Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400Oxygen cylinder and valve assemblies PN 89794077, 89794015, 891511-14, 806835-01, 807982-01, or
808433-01, 807206-01Approved aircraft maintenance program",,,,,,,,,,,
easa_biweekly_04-2022.csv,,G-2022-0003,,18-Feb-2022,,,BAE SYSTEMS (OPERATIONS) LTD,HS748,Time Limits / Maintenance Checks - Environmental Damage Corrosion Prevention and Control Programme - Amendment,,,"BSCU PN E21327307All Airbus single aisle Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400Oxygen cylinder and valve assemblies PN 89794077, 89794015, 891511-14, 806835-01, 807982-01, or
808433-01, 807206-01Approved aircraft maintenance program",,,,,,,,,,,
easa_biweekly_04-2022.csv,,US-2022-04-05,,18-Feb-2022,,,BOEING,"757, 767",Aircraft Flight Manual - Limitations / Operating Procedures - Amendment,,,"All Airbus single aisle Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400Oxygen cylinder and valve assemblies PN 89794077, 89794015, 891511-14, 806835-01, 807982-01, or
808433-01, 807206-01Approved aircraft maintenance program",,,,,,,,,,,
easa_biweekly_04-2022.csv,,CF-2022-04,,16-Feb-2022,,,AIRBUS CANADA LP,BD-500 (A220 Series),Fuselage - Painted Radome Diverter Strips,,,"Avionics Rack 80VUD5237106020400S,
Any PMA approved part for fwd and aft cargo compartment door seal D5237106020400Oxygen cylinder and valve assemblies PN 89794077, 89794015, 891511-14, 806835-01, 807982-01, or
808433-01, 807206-01Approved aircraft maintenance program",,,,,,,,,,,
easa_biweekly_04-2022.csv,27,2021-0002R1,,16-Feb-2022,23-Feb-2022,,AIRBUS,"A318, A319, A320, A321",Stabilizers - Rudder - Inspection,,A320-55-1052; A320-55-1059; A55N003-20,"Rudders that have been modified per the SBs and re-identified into below PN, except those that have passed SDI per AOT or have been repaired per AOT:

D554-71002-002-00;D554-71002-004-00;D554-71002-006-00;D554-71004-002-00;D554-71004-004-00;D554-71004-006-00;D554-71004-008-00;D554-71004-010-00;D554-71004-012-00;D554-71004-014-00;D554-71004-016-00;D554-71006-100-00;D554-71006-102-00;D554-71006-104-00;","1. To perform GVI of the affected part per AOT.
2. If no defects found from GVI, perform SDI per AOT.
3. If defects found from GVI, perform SDI per AOT.
4. If no defects found from SDI, do follow up SDI per AOT.
5. If defects found from SDI, do corrective actions per AOT.",50 FC / 3 M (WOF after 13 JAN 2021),,None. No aircrafts performed the SBs,Do not modify any rudder per SB,Rofiq,12-May-22,TDE-AD-2021-0002R1-PAS,COMPLETE,NO ENGINEERING ACTION,
easa_biweekly_04-2022.csv,25,2022-0026,,16-Feb-2022,2-Mar-2022,,AIRBUS,"A319, A320, A321",Equipment / Furnishings - Galley / Container End Stop - Replacement,2018-0255; 2019-0106,A320-25-1BF6 R1; ZODIAC 213510-25-001 rev. D; A320-25-1BHG; A320-25-1BK9 R02; A320-25-1BKK,Galley 5 with PN and SN in the appendix of this AD,1. Modify the waste compartment door on the affected galley per SB,1. Within 12 months after 11 December 2018.,,"None.
No aircrafts have affected galley PN, SN installed",,Rofiq,12-May-22,TDE-AD-2022-0026-PAS,COMPLETE,NO ENGINEERING ACTION,
easa_biweekly_04-2022.csv,,2017-0102R1,,16-Feb-2022,,,SAFRAN HELICOPTER ENGINES,ARRIEL 2,Engine Fuel & Control - High Pressure / Low Pressure Fuel Pump Metering Unit - Inspection / Replacement,,,"Oxygen cylinder and valve assemblies PN 89794077, 89794015, 891511-14, 806835-01, 807982-01, or
808433-01, 807206-01Approved aircraft maintenance program",,,,,,,,,,,
easa_biweekly_04-2022.csv,,US-2022-03-19,,15-Feb-2022,,,GENERAL ELECTRIC,Passport 20,Time Limits / Maintenance Checks - Airworthiness Limitations Section - Amendment,,,Approved aircraft maintenance program,,,,,,,,,,,
easa_biweekly_04-2022.csv,,US-2022-03-16,,15-Feb-2022,,,GENERAL ELECTRIC,GEnx,Engine - Turbine Compressor Discharge Pressure Bolted Joint - Inspection,,,,,,,,,,,,,,
easa_biweekly_04-2022.csv,,2022-0025,,15-Feb-2022,,,AIRBUS,"A330, A340",Landing Gear - Main and Centre Landing Gear Bogie Pivot Pins - Inspection / Replacement,,,,,,,,,,,,,,
easa_biweekly_04-2022.csv,,US-2021-26-10,,15-Feb-2022,,,BOEING,747,Equipment / Furnishings - BMS 8-39 Urethane Foam Fire-Retardant Seals - Replacement,,,,,,,,,,,,,,
easa_biweekly_04-2022.csv,,US-2022-02-09,,15-Feb-2022,,,INTERNATIONAL AERO ENGINES AG,V2500-( )5,Engine - High-Pressure Turbine Disks - Inspection / Replacement,,,,,,,,,,,,,,
easa_biweekly_04-2022.csv,,US-2022-03-23,,14-Feb-2022,,,"GARMIN INTERNATIONAL INC., TEXTRON AVIATION INC.","EASA STC 10033158, FAA STC SA01535WI-D, STC EASA.IM.A.S.03191, 300 (Super King Air)",Flight Controls - Rudder Yaw Servo Software - Update,,,Fuel Cylinder CB2990,,,,,,,,,,,
easa_biweekly_04-2022.csv,,US-2022-02-01,,11-Feb-2022,,,SIKORSKY,S-92,Main Rotor - Swashplate Assembly - Inspection / Removal,,,Fuel Cylinder CB2990,,,,,,,,,,,
